year,region,crop,cultivation_type,yield_kg_10a,production_ton
2019,전라남도,참외,노지,1500,214
2019,전라남도,참외,시설,5028,288
2019,전라남도,호박,노지,2595,43572
2019,전라남도,호박,시설,6075,25550
2019,전라북도,딸기,노지,309,3
2019,전라북도,딸기,시설,2747,16771
2019,전라북도,수박,노지,3853,23102
2019,전라북도,수박,시설,4523,62142
2019,전라북도,오이,노지,6761,1616
2019,전라북도,오이,시설,10832,27969
2019,전라북도,참외,노지,1500,144
2019,전라북도,참외,시설,2104,247
2019,전라북도,호박,노지,4771,10657
2019,전라북도,호박,시설,4046,7223
2019,충청남도,딸기,노지,6951,146
2019,충청남도,딸기,시설,2873,42727
2019,충청남도,수박,노지,4975,852
2019,충청남도,수박,시설,4056,107306
2019,충청남도,오이,노지,4676,4221
2019,충청남도,오이,시설,8084,82865
2019,충청남도,참외,노지,3005,441
2019,충청남도,참외,시설,2618,226
2019,충청남도,호박,노지,2461,5274
2019,충청남도,호박,시설,2797,7294
2019,충청북도,딸기,노지,6951,71
2019,충청북도,딸기,시설,2397,3849
2019,충청북도,수박,노지,3167,9174
2019,충청북도,수박,시설,4415,82273
2019,충청북도,오이,노지,3823,6308
2019,충청북도,오이,시설,8857,27627
2019,충청북도,참외,노지,1207,23
2019,충청북도,참외,시설,2618,28
2019,충청북도,호박,노지,1655,4688
2019,충청북도,호박,시설,5403,33467
2020,강원도,딸기,노지,1308,92
2020,강원도,딸기,시설,2069,1470
2020,강원도,수박,노지,2831,947
2020,강원도,수박,시설,5439,9444
2020,강원도,오이,노지,4241,20711
2020,강원도,오이,시설,4981,20765
2020,강원도,참외,노지,1423,165
2020,강원도,참외,시설,2512,399
2020,강원도,호박,노지,2566,23288
2020,강원도,호박,시설,3400,2964
2020,경기도,딸기,노지,2066,142
2020,경기도,딸기,시설,2669,3077
2020,경기도,수박,노지,5035,3228
2020,경기도,수박,시설,3699,3753
2020,경기도,오이,노지,3013,4538
2020,경기도,오이,시설,6547,40802
2020,경기도,참외,노지,2252,1103
2020,경기도,참외,시설,2456,998
2020,경기도,호박,노지,3510,15504
2020,경기도,호박,시설,4631,18617
2020,경상남도,딸기,노지,3670,78
2020,경상남도,딸기,시설,2759,62068
2020,경상남도,수박,노지,3007,823
2020,경상남도,수박,시설,3733,59544
2020,경상남도,오이,노지,3330,397
2020,경상남도,오이,시설,10027,14013
2020,경상남도,참외,노지,1423,133
2020,경상남도,참외,시설,1422,64
2020,경상남도,호박,노지,2405,13128
2020,경상남도,호박,시설,7078,54490
2020,경상북도,딸기,노지,1214,31
2020,경상북도,딸기,시설,4033,13885
2020,경상북도,수박,노지,2734,24135
2020,경상북도,수박,시설,4205,16309
2020,경상북도,오이,노지,3876,3334
2020,경상북도,오이,시설,9093,54268
2020,경상북도,참외,노지,1423,128
2020,경상북도,참외,시설,4315,135480
2020,경상북도,호박,노지,2482,26398
2020,경상북도,호박,시설,3174,7973
2020,전라남도,딸기,노지,3343,517
2020,전라남도,딸기,시설,2777,18530
2020,전라남도,수박,노지,3803,4886
2020,전라남도,수박,시설,4207,17970
2020,전라남도,오이,노지,6088,636
2020,전라남도,오이,시설,10013,27432
2020,전라남도,참외,노지,1183,246
2020,전라남도,참외,시설,5028,238
2020,전라남도,호박,노지,2643,53135
2020,전라남도,호박,시설,5825,21650
2020,전라북도,딸기,노지,3343,22
2020,전라북도,딸기,시설,3116,18488
2020,전라북도,수박,노지,3628,29850
2020,전라북도,수박,시설,4493,63455
2020,전라북도,오이,노지,6342,3804
2020,전라북도,오이,시설,10239,13982
2020,전라북도,참외,노지,1183,66
2020,전라북도,참외,시설,2103,7
2020,전라북도,호박,노지,4930,9531
2020,전라북도,호박,시설,4112,9036
2020,충청남도,딸기,노지,1026,62
2020,충청남도,딸기,시설,2854,36520
2020,충청남도,수박,노지,5200,785
2020,충청남도,수박,시설,5312,136833
2020,충청남도,오이,노지,4709,2781
2020,충청남도,오이,시설,8671,78578
2020,충청남도,참외,노지,3133,1403
2020,충청남도,참외,시설,2756,638
2020,충청남도,호박,노지,2478,6663
2020,충청남도,호박,시설,3109,3670
2020,충청북도,딸기,노지,3728,14
2020,충청북도,딸기,시설,2569,4440
2020,충청북도,수박,노지,3167,8213
2020,충청북도,수박,시설,3132,61175
2020,충청북도,오이,노지,3641,6287
2020,충청북도,오이,시설,8869,30136
2020,충청북도,참외,노지,1183,44
2020,충청북도,참외,시설,2756,77
2020,충청북도,호박,노지,1039,3068
2020,충청북도,호박,시설,5837,30891
2021,강원도,딸기,노지,1322,43
2021,강원도,딸기,시설,2036,584
2021,강원도,수박,노지,2840,1112
2021,강원도,수박,시설,5506,14732
2021,강원도,오이,노지,4246,18315
2021,강원도,오이,시설,4997,14192
2021,강원도,참외,노지,1428,129
2021,강원도,참외,시설,2494,99
2021,강원도,호박,노지,2574,26082
2021,강원도,호박,시설,3390,1058
2021,경기도,딸기,노지,2066,131
2021,경기도,딸기,시설,2826,4587
2021,경기도,수박,노지,5035,4411
2021,경기도,수박,시설,3705,6993
2021,경기도,오이,노지,3028,4774
2021,경기도,오이,시설,5961,28831
2021,경기도,참외,노지,2252,1210
2021,경기도,참외,시설,2456,1521
2021,경기도,호박,노지,3520,22289
2021,경기도,호박,시설,4568,17638
2021,경상남도,딸기,노지,3780,171
2021,경상남도,딸기,시설,2751,68527
2021,경상남도,수박,노지,3007,979
2021,경상남도,수박,시설,3763,61680
2021,경상남도,오이,노지,4049,1016
2021,경상남도,오이,시설,10009,13691
2021,경상남도,참외,노지,1477,222
2021,경상남도,참외,시설,1422,1128
2021,경상남도,호박,노지,2403,12150
2021,경상남도,호박,시설,7042,24097
2021,경상북도,딸기,노지,1122,168
2021,경상북도,딸기,시설,3951,27484
2021,경상북도,수박,노지,3160,24814
2021,경상북도,수박,시설,4274,24549
2021,경상북도,오이,노지,3844,2257
2021,경상북도,오이,시설,9201,41008
2021,경상북도,참외,노지,1428,192
2021,경상북도,참외,시설,4483,187720
2021,경상북도,호박,노지,2440,27390
2021,경상북도,호박,시설,3187,4815
2021,전라남도,딸기,노지,3079,74
2021,전라남도,딸기,시설,2705,17701
2021,전라남도,수박,노지,3705,7226
2021,전라남도,수박,시설,3835,17221
2021,전라남도,오이,노지,6088,976
2021,전라남도,오이,시설,9876,7267
2021,전라남도,참외,노지,1477,203
2021,전라남도,참외,시설,5028,171
2021,전라남도,호박,노지,1764,22278
2021,전라남도,호박,시설,5663,11526
2021,전라북도,딸기,노지,3079,4
2021,전라북도,딸기,시설,3114,14135
2021,전라북도,수박,노지,3960,26179
2021,전라북도,수박,시설,4543,75987
